Rhythm,Original WNBD,Velocity WNBD
0_7_pop-groove7_138_beat_4-4_bar_1_reduced_constant,1.714285714285714,2.6996625421822276
1_24_rock_90_beat_4-4_bar_26_reduced_constant,3.666666666666667,11.548556430446196
2_10_rock_60_beat_4-4_bar_2_reduced_constant,5.992857142857143,18.065241844769407
3_106_hiphop_70_beat_4-4_bar_3_reduced_constant,3.9821428571428577,12.542182227221598
4_34_punk_128_beat_4-4_bar_2_reduced_constant,6.166666666666668,12.598425196850394
5_5_jazz-linear_128_beat_4-4_bar_42_reduced_constant,7.25,36.22047244094488
6_10_rock-folk_90_beat_4-4_bar_55_reduced_constant,7.171428571428573,16.302962129733785
7_18_rock_120_beat_4-4_bar_11_reduced_constant,5.833333333333333,30.44619422572179
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced_constant,12.551948051948052,37.26352387769711
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced_constant,9.9375,40.94488188976379
