Rhythm,Original WNBD,Velocity WNBD
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,13.714285714285712,1.9437570303712035
1_24_rock_90_beat_4-4_bar_26_reduced,29.333333333333336,5.562554680664917
2_10_rock_60_beat_4-4_bar_2_reduced,47.94285714285714,12.453524559430072
3_106_hiphop_70_beat_4-4_bar_3_reduced,31.85714285714286,5.661417322834646
4_34_punk_128_beat_4-4_bar_2_reduced,49.33333333333334,7.666666666666666
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,58.0,28.619422572178475
6_10_rock-folk_90_beat_4-4_bar_55_reduced,57.37142857142858,8.882189726284214
7_18_rock_120_beat_4-4_bar_11_reduced,46.666666666666664,26.860892388451443
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,100.41558441558442,19.050209632886798
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,79.5,27.149606299212596
