Rhythm,Original WNBD,Velocity WNBD
0_7_pop-groove7_138_beat_4-4_bar_1_reduced,1.714285714285714,1.9437570303712035
1_24_rock_90_beat_4-4_bar_26_reduced,3.666666666666667,5.562554680664917
2_10_rock_60_beat_4-4_bar_2_reduced,5.992857142857143,12.453524559430072
3_106_hiphop_70_beat_4-4_bar_3_reduced,3.9821428571428577,5.661417322834646
4_34_punk_128_beat_4-4_bar_2_reduced,6.166666666666668,7.666666666666666
5_5_jazz-linear_128_beat_4-4_bar_42_reduced,7.25,28.619422572178475
6_10_rock-folk_90_beat_4-4_bar_55_reduced,7.171428571428573,8.882189726284214
7_18_rock_120_beat_4-4_bar_11_reduced,5.833333333333333,26.860892388451443
8_20_latin-brazilian-baiao_110_beat_4-4_bar_17_reduced,12.551948051948052,19.050209632886798
9_14_latin-brazilian-songo_112_beat_4-4_bar_167_reduced,9.9375,27.149606299212596
