Rhythm,Original Score,Var1,Var2
100_funk-rock_92_fill_4-4_bar_1_reduced,20.0,1683.5099999999998,0.04321431366628165
100_hiphop_70_fill_4-4_bar_1_reduced,23.0,956.0899908172636,0.04851207434841173
100_neworleans-secondline_94_beat_4-4_bar_1_reduced,22.0,970.2448979591837,0.018681391860138216
100_neworleans-secondline_94_beat_4-4_bar_10_reduced,14.0,713.3099489795919,0.00400127368155971
100_neworleans-secondline_94_beat_4-4_bar_11_reduced,14.0,862.7846364883402,0.008033940547047761
100_neworleans-secondline_94_beat_4-4_bar_12_reduced,15.0,792.5976331360946,0.0058079113689091565
100_neworleans-secondline_94_beat_4-4_bar_13_reduced,24.0,938.0236686390534,0.006417347994313198
100_neworleans-secondline_94_beat_4-4_bar_14_reduced,20.0,1048.8576,0.0045211323415844116
100_neworleans-secondline_94_beat_4-4_bar_15_reduced,25.0,997.0369822485206,0.006867869094055085
100_neworleans-secondline_94_beat_4-4_bar_16_reduced,14.0,854.0932784636489,0.008350964618595904
100_neworleans-secondline_94_beat_4-4_bar_17_reduced,39.0,1322.142857142857,0.023119763939762547
100_neworleans-secondline_94_beat_4-4_bar_18_reduced,27.0,962.3744,0.03190358610498022
100_neworleans-secondline_94_beat_4-4_bar_19_reduced,25.0,697.1005917159763,0.007687393461206675
100_neworleans-secondline_94_beat_4-4_bar_2_reduced,14.0,548.9990234375,0.03745752022754046
100_neworleans-secondline_94_beat_4-4_bar_20_reduced,19.0,411.1581632653061,0.005933785015718178
100_neworleans-secondline_94_beat_4-4_bar_21_reduced,26.0,608.7599451303154,0.003705497056990253
100_neworleans-secondline_94_beat_4-4_bar_22_reduced,25.0,662.5871056241427,0.010908744811316783
100_neworleans-secondline_94_beat_4-4_bar_23_reduced,24.0,841.1220850480112,0.010938812001080793
100_neworleans-secondline_94_beat_4-4_bar_24_reduced,23.0,901.718112244898,0.01575143982361535
100_neworleans-secondline_94_beat_4-4_bar_25_reduced,25.0,1066.9111531190924,0.010309769076328277
100_neworleans-secondline_94_beat_4-4_bar_26_reduced,32.0,1071.6597222222222,0.022246610851246393
100_neworleans-secondline_94_beat_4-4_bar_27_reduced,28.0,533.1388888888888,0.010099669434125923
100_neworleans-secondline_94_beat_4-4_bar_28_reduced,26.0,656.2899408284023,0.02033764468580877
100_neworleans-secondline_94_beat_4-4_bar_29_reduced,25.0,625.6878698224851,0.028364853199499662
100_neworleans-secondline_94_beat_4-4_bar_3_reduced,14.0,691.030612244898,0.002863092531740619
100_neworleans-secondline_94_beat_4-4_bar_30_reduced,28.0,1020.6976,0.003662668987986819
100_neworleans-secondline_94_beat_4-4_bar_31_reduced,26.0,749.9500594530324,0.006216126535301698
